# wl	flux	err
3.559000000000000000e+03	1.413554728320160145e-15	1.683221443958900600e-17
3.560000000000000000e+03	1.418307779910500152e-15	1.413980629563950886e-17
3.561000000000000000e+03	1.437292740698934145e-15	1.223416703109832197e-17
3.562000000000000000e+03	1.438112351597272331e-15	1.325077683129434632e-17
3.563000000000000000e+03	1.470691407946623841e-15	1.669831961354401538e-17
3.564000000000000000e+03	1.409159206408431422e-15	1.978788532127696390e-17
3.565000000000000000e+03	1.326431500964669667e-15	1.987576208965042139e-17
3.566000000000000000e+03	1.333778968995627560e-15	1.736608363614964225e-17
3.567000000000000000e+03	1.429564663124811216e-15	1.563434376266542212e-17
3.568000000000000000e+03	1.408443646876890406e-15	1.634616035343896391e-17
3.569000000000000000e+03	1.374952535688692456e-15	1.889425757685171802e-17
3.570000000000000000e+03	1.302024100964105226e-15	1.924788045039289041e-17
3.571000000000000000e+03	1.420400216489071128e-15	1.933204725243697363e-17
3.572000000000000000e+03	1.369848631265616106e-15	1.837898885569020926e-17
3.573000000000000000e+03	1.443131127356126204e-15	1.459806425397402267e-17
3.574000000000000000e+03	1.398002380122322944e-15	1.242900484429571280e-17
3.575000000000000000e+03	1.404807264165427507e-15	1.291937338459790855e-17
3.576000000000000000e+03	1.427701056488521871e-15	1.375490049891277368e-17
3.577000000000000000e+03	1.455974674108797623e-15	1.371483805715119490e-17
3.578000000000000000e+03	1.395159960499455037e-15	1.553786577334694605e-17
3.579000000000000000e+03	1.445900636006644468e-15	1.646366154632257102e-17
3.580000000000000000e+03	1.463770255932615888e-15	1.587236787390297150e-17
3.581000000000000000e+03	1.359353780952947721e-15	1.506669548063689909e-17
3.582000000000000000e+03	1.428897072213641856e-15	1.371831225723603409e-17
3.583000000000000000e+03	1.433922943885716715e-15	1.597029448849637042e-17
3.584000000000000000e+03	1.370407054913298521e-15	2.064288028598738976e-17
3.585000000000000000e+03	1.310816226178537838e-15	2.147163714519239285e-17
3.586000000000000000e+03	1.390956069961597209e-15	2.138215822625713651e-17
3.587000000000000000e+03	1.418163906575426462e-15	2.130568155697876488e-17
